,Unnamed: 0,pcsp,unif_posterior,unif_lb,unif_ub,unif_samples,exp_posterior,exp_lb,exp_ub,exp_samples,gp,dataset,pcsp_nobar,vbpi_pcsp,vbpi,vbpi_pcsp_nobar,rootsplit,unif_posterior_root_adjusted,unif_lb_root_adjusted,unif_ub_root_adjusted,gp_root_adjusted,gp_coverage,vbpi_coverage
0,0.0,00000000000000000000000000000000000000000000000000000000001|11111111111111111111111111111111111111111111111111111111110|00000000000000011111111111111111111111111111111111111111110,0.1035089999999999,0.1014294499999999,0.10558855,2.0,,,,,0.207613,ds7,000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111000000000000000011111111111111111111111111111111111111111110,,,,True,0.2013632792277484,0.1874376499999999,0.21606055000000002,0.20761396662099998,covered,under
1,1.0,00000000000000000000000000000000000000000000000000000000001|11111111111111111111111111111111111111111111111111111111110|00000000000000000000000000000000000000000000000000000000010,0.0978542679069749,0.0860082,0.110472,998999.0,0.0971568508472455,0.0853707024999999,0.109703,999002.0,0.194951,ds7,000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000010,10000000000000000000000000000000000000000000000000000000000|01111111111111111111111111111111111111111111111111111111111|00111111111111111111111111111111111111111111111111111111111,0.0973054,100000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111100111111111111111111111111111111111111111111111111111111111,True,0.1957085471347234,0.1720164,0.220944,0.194951966621,covered,covered
2,2.0,00000000000000000000000000000000000000000000000000000000010|00000000000000011111111111111111111111111111111111111111100|00000000000000000000000000000000000000000000000000000001100,0.02594569,0.0227629335,0.0291284465,2.0,,,,,0.022839,ds7,000000000000000000000000000000000000000000000000000000000100000000000000001111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000001100,,,,False,0.02594569,0.0227629335,0.0291284465,0.022839,covered,under
3,3.0,00000000000000000000000000000000000000000000000000000000010|11111111111111111111111111111111111111111111111111111111100|00000000000000000000000000000000000000000000000000000001100,0.04998893,0.04998893,0.04998893,1.0,,,,,0.0443887,ds7,000000000000000000000000000000000000000000000000000000000101111111111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000001100,,,,False,0.04998893,0.04998893,0.04998893,0.0443887,under,under
4,4.0,00000000000000000000000000000000000000000000000000000000010|11111111111111111111111111111111111111111111111111111111100|00000000000000011111111111111111111111111111111111111111100,0.0391769510404353,0.026607079,0.0532287164999999,886379.0,0.0389579300254576,0.0264896349999999,0.05291971,888141.0,0.0405398,ds7,000000000000000000000000000000000000000000000000000000000101111111111111111111111111111111111111111111111111111111110000000000000000011111111111111111111111111111111111111111100,01000000000000000000000000000000000000000000000000000000000|00111111111111111111111111111111111111111111111111111111111|00000000000000000111111111111111111111111111111111111111111,0.0389729,010000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111100000000000000000111111111111111111111111111111111111111111,False,0.0391769510404353,0.026607079,0.0532287164999999,0.0405398,covered,covered
5,5.0,00000000000000000000000000000000000000000000000000000000010|11111111111111111111111111111111111111111111111111111111100|00000000000000011111111111111111111111111111111111111110000,0.0415229061771992,0.0289231845,0.055573576,112619.0,,,,,0.0401634,ds7,000000000000000000000000000000000000000000000000000000000101111111111111111111111111111111111111111111111111111111110000000000000000011111111111111111111111111111111111111110000,01000000000000000000000000000000000000000000000000000000000|00111111111111111111111111111111111111111111111111111111111|00000000000000000001111111111111111111111111111111111111111,0.0411639,010000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111100000000000000000001111111111111111111111111111111111111111,False,0.0415229061771992,0.0289231845,0.055573576,0.0401634,covered,under
6,6.0,00000000000000000000000000000000000000000000000000000001100|00000000000000011111111111111111111111111111111111111110000|00000000000000000000000000000000000000000000000000000100000,0.040163525,0.03863623375,0.04169081625,2.0,,,,,0.0458108,ds7,000000000000000000000000000000000000000000000000000000011000000000000000001111111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000100000,00000000000000000110000000000000000000000000000000000000000|00000000000000000001111111111111111111111111111111111111111|00000000000000000000100000000000000000000000000000000000000,0.0495402,000000000000000001100000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111100000000000000000000100000000000000000000000000000000000000,False,0.040163525,0.03863623375,0.04169081625,0.0458108,over,under
7,7.0,00000000000000000000000000000000000000000000000000000001100|00000000000000011111111111111111111111111111111111111110000|00000000000000000000000000000000000000000000000000000110000,0.046219905396391,0.0332999614999999,0.0605696415,42395.0,,,,,0.0451451,ds7,000000000000000000000000000000000000000000000000000000011000000000000000001111111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000110000,00000000000000000110000000000000000000000000000000000000000|00000000000000000001111111111111111111111111111111111111111|00000000000000000000011111111111111111111111111111111111111,0.0457746,000000000000000001100000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111100000000000000000000011111111111111111111111111111111111111,False,0.046219905396391,0.0332999614999999,0.0605696415,0.0451451,covered,under
8,8.0,00000000000000000000000000000000000000000000000000000001100|00000000000000011111111111111111111111111111111111111110000|00000000000000000000000000111111111111111111111111111010000,0.0482029797727272,0.04039988725,0.0623108859999999,44.0,,,,,0.0465963,ds7,000000000000000000000000000000000000000000000000000000011000000000000000001111111111111111111111111111111111111111000000000000000000000000000000111111111111111111111111111010000,00000000000000000110000000000000000000000000000000000000000|00000000000000000001111111111111111111111111111111111111111|00000000000000000000111111111111000000000000000000000000000,0.0472097,000000000000000001100000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111100000000000000000000111111111111000000000000000000000000000,False,0.0482029797727272,0.04039988725,0.0623108859999999,0.0465963,covered,under
9,9.0,00000000000000000000000000000000000000000000000000000001100|00000000000000011111111111111111111111111111111111111110000|00000000000000000000000000111111111111111111111111111000000,0.0490790069230769,0.040033776,0.0611271019999999,13.0,,,,,0.046852,ds7,000000000000000000000000000000000000000000000000000000011000000000000000001111111111111111111111111111111111111111000000000000000000000000000000111111111111111111111111111000000,00000000000000000110000000000000000000000000000000000000000|00000000000000000001111111111111111111111111111111111111111|00000000000000000000000000000000111111111111111111111111111,0.0402285,000000000000000001100000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111100000000000000000000000000000000111111111111111111111111111,False,0.0490790069230769,0.040033776,0.0611271019999999,0.046852,covered,under
